name,longitude,latitude,distance,gain,elevation,reward_scale,address,altitude
fluffy-chrome-boa,-79.03086825,43.87070969,18611.73479,60,8,0.900085449,11X2DpdEGXXRYui1AYfGiUFoGNEeMBsw5dAKVcaNt8s5P3BoEMB,102
joyous-yellow-ram,-79.02040108,43.85091108,18625.75461,12,0,1,112jx2ct3BpYgKmd6Hi8DUEhWHUBEApZdeTghmgtHjMo4NxfKF3h,102
brave-rusty-panda,-79.03247353,43.87386013,18632.27434,40,10,1,112XjLnYaStnR1dQ8c4pHifyoEJkeuqaYZBcBgbsNSr9iY441F4K,102
clumsy-satin-walrus,-79.02641708,43.86055895,18650.28741,40,0,0.952377319,11xaHz2xZ6Hd4uXBPL1AqsfAz2PGja9AWnAX2ygbPZyLjWAai6n,107
immense-currant-goblin,-79.02833425,43.8639124,18662.98924,40,6,0.720077515,112GyrCBNGb6qtiWKRKWd4Xf9ZGwkCJatypRCDn9GQdgjhDNsKYx,107
scrawny-corduroy-raccoon,-79.00862963,44.00876791,18667.984,23,4,1,11VsYwdmpfeV7dyTKEYjvdk6rTXxj8LsG9xwcT3rC21v7RuxUxQ,259
jumpy-zinc-dolphin,-79.02402328,43.85560806,18679.72553,12,3,0.800003052,112MVGzD3sWAD8LfDixneByoQYPQbTWjJLHGL7p9ezGjHUcrUCn9,103
brave-watermelon-dragonfly,-79.01920705,43.84767665,18693.54318,12,0,1,112Vv6hgC3Tfzie5DKFBkKuBJyJFkLny5hL1mE3Su45MdWMj6X7e,95
dapper-marigold-bison,-79.03776429,43.88642871,18700.20617,58,4,0.754364014,115bhbHY7zK5CQCYBDkkhFZKMby5vgjfVoYLjL3seJSYtFmbLLs,116
dazzling-blonde-alligator,-79.00578155,43.83027886,18702.15777,23,5,1,11mHueFUZXnBw6e6bBXzbZDPfwrEtyXjfQaKqgXLuoEG7Xpuxp5,87
mysterious-nylon-cyborg,-79.014751,43.84056411,18738.24583,40,40,1,112nc1hWqVBnQv1MWomwxybiGVwYhSkWQjyfxjiJtzG1qpmVj1Nq,95
great-walnut-robin,-79.0186587,43.84591556,18740.76846,40,0,0.800003052,11Yv6N39tdUPbLa3Unc9QZdH73EvUD9ptekHZPExWhG9GvciyKN,95
sunny-brown-seahorse,-79.02342833,43.85323159,18741.01301,23,0,1,11UZ7WSqoox4BFNEfqFZp9qsRF5ryvS6RQWJ3KMu48igyrkPCL1,103
long-iris-wren,-79.01460759,43.84023673,18745.61451,58,6,1,11Cc5qFmc1VatssF2fJDmwmbynkVNz48NyuYCKr1UGr1F9XVCHa,95
delightful-berry-aphid,-79.03545225,43.87708419,18764.54641,12,0,0.761901855,112jKMh9NUHR58VmeCyRp6ZRiQx6n5urXP6pgemiiTxkTgxtBHy6,104
mean-olive-tapir,-79.0177263,43.84378754,18781.25521,40,90,0.800003052,11WGWdX7nvpKMHUn7KbSgM6rizg3d6XaZtJN1bt7Ne9gTDkD1wy,95
fantastic-gunmetal-kestrel,-79.03086015,43.86508696,18809.97604,40,7,0.360031128,112iWcjCECHNhTLVXgvVDpvU2JJMYiABQomDMtifdv4M3hiZNLKL,99
